cust,hist_size,n_relevant,rf_recs,pop_recs,rf_hits,pop_hits
12347,6,11,"['23084', '21731', '20719', '21791', '22992']","['85123A', '22423', '85099B', '47566', '84879']",3,0
12356,2,2,"['21843', '22423', '84991', '84378', '22699']","['85123A', '22423', '85099B', '47566', '84879']",2,1
12358,1,7,"['15056BL', '20679', '15056N', '15056P', 'POST']","['85123A', '22423', '85099B', '47566', '84879']",5,0
12362,9,30,"['POST', '23292', '23245', '22328', '23290']","['85123A', '22423', '85099B', '47566', '84879']",4,1
12364,3,27,"['POST', '22908', '22992', '22613', '22045']","['85123A', '22423', '85099B', '47566', '84879']",4,0
12375,1,6,"['POST', '23203', '23200', '21929', '84997D']","['85123A', '22423', '85099B', '47566', '84879']",3,0
12380,3,17,"['20726', '20725', '22384', 'POST', '21731']","['85123A', '22423', '85099B', '47566', '84879']",3,0
12381,4,7,"['POST', '22720', '23084', '22423', '21481']","['85123A', '22423', '85099B', '47566', '84879']",4,1
12388,5,8,"['22910', '22086', '23245', '22722', '22669']","['85123A', '22423', '85099B', '47566', '84879']",3,0
12395,11,15,"['POST', '84375', '22326', '21559', '22727']","['85123A', '22423', '85099B', '47566', '84879']",4,0
12406,1,56,"['84997C', '22964', '84997A', '21833', '23084']","['85123A', '22423', '85099B', '47566', '84879']",5,0
12415,19,26,"['22629', '22630', '22382', '21929', '23203']","['85123A', '22423', '85099B', '47566', '84879']",3,0
12417,8,20,"['POST', '22423', '22666', '22624', '23240']","['85123A', '22423', '85099B', '47566', '84879']",4,1
12421,3,9,"['POST', '22646', '21232', '47567B', '22066']","['85123A', '22423', '85099B', '47566', '84879']",2,0
12423,7,17,"['POST', '20724', '23204', '22303', '23084']","['85123A', '22423', '85099B', '47566', '84879']",3,0
12427,2,6,"['POST', '22634', '21328', '22636', '23080']","['85123A', '22423', '85099B', '47566', '84879']",3,0
12428,8,15,"['POST', '22386', '23203', '85099B', '22385']","['85123A', '22423', '85099B', '47566', '84879']",5,1
12429,3,27,"['22728', '22726', '22727', '22730', 'POST']","['85123A', '22423', '85099B', '47566', '84879']",4,0
12433,4,68,"['21671', '84596F', '21169', '82581', '21165']","['85123A', '22423', '85099B', '47566', '84879']",4,0
12437,15,23,"['POST', '21086', '22435', '22693', '23084']","['85123A', '22423', '85099B', '47566', '84879']",3,1
12438,1,49,"['22326', '22467', 'POST', '22554', '22551']","['85123A', '22423', '85099B', '47566', '84879']",4,1
12444,4,34,"['22624', 'POST', '22720', '22627', '23245']","['85123A', '22423', '85099B', '47566', '84879']",3,0
12449,3,59,"['22726', 'POST', '22630', '22629', '22727']","['85123A', '22423', '85099B', '47566', '84879']",5,0
12451,3,58,"['22045', '23231', '21918', '21507', '22551']","['85123A', '22423', '85099B', '47566', '84879']",3,0
12462,1,22,"['37449', '22890', 'POST', '22061', '21232']","['85123A', '22423', '85099B', '47566', '84879']",5,1
12464,6,5,"['POST', '22624', '22847', '22625', '22846']","['85123A', '22423', '85099B', '47566', '84879']",5,0
12465,1,21,"['22142', '22574', '22601', '22144', '22573']","['85123A', '22423', '85099B', '47566', '84879']",5,0
12471,24,58,"['22077', '23245', '22556', '21232', '21731']","['85123A', '22423', '85099B', '47566', '84879']",5,1
12474,16,61,"['23290', '22554', '23292', '22556', '22328']","['85123A', '22423', '85099B', '47566', '84879']",5,0
12476,9,66,"['POST', '82494L', '23245', '22139', '22727']","['85123A', '22423', '85099B', '47566', '84879']",5,2
12477,5,45,"['22212', '21484', '82486', '21523', '48185']","['85123A', '22423', '85099B', '47566', '84879']",5,0
12480,3,40,"['POST', '22326', '22303', '22328', '21481']","['85123A', '22423', '85099B', '47566', '84879']",4,0
12481,9,12,"['POST', '22326', '22556', '22895', '22328']","['85123A', '22423', '85099B', '47566', '84879']",2,0
12483,7,6,"['POST', '22467', '22328', '21731', '23084']","['85123A', '22423', '85099B', '47566', '84879']",5,0
12488,2,27,"['21481', '23084', '20750', '22139', '22384']","['85123A', '22423', '85099B', '47566', '84879']",3,0
12490,7,51,"['20712', '23199', '21731', 'POST', '23203']","['85123A', '22423', '85099B', '47566', '84879']",5,0
12494,6,11,"['POST', '23084', '22890', '23108', '84997C']","['85123A', '22423', '85099B', '47566', '84879']",3,0
12498,1,10,"['POST', '22175', '21485', '22483', '20726']","['85123A', '22423', '85099B', '47566', '84879']",3,0
12500,10,5,"['23210', 'POST', '23213', '23212', '23395']","['85123A', '22423', '85099B', '47566', '84879']",4,0
12504,1,3,"['22776', '22236', 'POST', '21124', '21122']","['85123A', '22423', '85099B', '47566', '84879']",2,0
12508,1,17,"['22619', '46000S', '21484', '21439', '22219']","['85123A', '22423', '85099B', '47566', '84879']",4,0
12517,3,73,"['22112', '21975', '22554', '21977', '22551']","['85123A', '22423', '85099B', '47566', '84879']",5,0
12518,4,18,"['POST', '23084', '22328', '22551', '22326']","['85123A', '22423', '85099B', '47566', '84879']",5,0
12523,10,13,"['22139', 'POST', '20914', '23231', '22866']","['85123A', '22423', '85099B', '47566', '84879']",0,1
12524,7,4,"['POST', '20726', '20725', '21558', '21559']","['85123A', '22423', '85099B', '47566', '84879']",1,0
12526,2,13,"['22326', '22328', 'POST', '20712', '23200']","['85123A', '22423', '85099B', '47566', '84879']",3,0
12528,5,12,"['POST', '22423', '48185', '21232', '21843']","['85123A', '22423', '85099B', '47566', '84879']",4,1
12539,3,43,"['20914', '22699', '22698', '22960', '22961']","['85123A', '22423', '85099B', '47566', '84879']",5,1
12540,16,27,"['22745', '22748', '84879', '22077', '84380']","['85123A', '22423', '85099B', '47566', '84879']",4,2
12553,8,30,"['POST', '21931', '22385', '23202', '22554']","['85123A', '22423', '85099B', '47566', '84879']",4,1
12557,4,4,"['84997B', '84997C', '84997D', '20728', '22384']","['85123A', '22423', '85099B', '47566', '84879']",4,0
12560,2,28,"['22728', '22726', '22629', '23206', '22727']","['85123A', '22423', '85099B', '47566', '84879']",4,0
12562,5,37,"['POST', '23206', '23203', '20726', '22662']","['85123A', '22423', '85099B', '47566', '84879']",5,0
12567,9,81,"['22467', 'POST', '20726', '22728', '22382']","['85123A', '22423', '85099B', '47566', '84879']",4,1
12569,22,41,"['21232', 'POST', '22055', '22624', '37447']","['85123A', '22423', '85099B', '47566', '84879']",5,0
12572,1,24,"['22726', '22727', 'POST', '22423', '20685']","['85123A', '22423', '85099B', '47566', '84879']",4,1
12578,1,44,"['47591D', '22150', '23084', '22666', '22699']","['85123A', '22423', '85099B', '47566', '84879']",4,1
12583,13,33,"['22726', '22326', '22728', '22727', '21080']","['85123A', '22423', '85099B', '47566', '84879']",4,0
